return_id,order_id,customer_id,prediction_time,product_category,payment_method,return_reason,order_value,return_value,product_price,discount_pct,customer_account_age_days,orders_7d,orders_30d,orders_90d,returns_7d,returns_30d,returns_90d,return_rate_30d,return_rate_90d,refund_amount_30d,refund_amount_90d,hours_to_return,return_value_ratio,same_product_returns_90d,same_category_returns_90d,velocity_24h,velocity_7d,device_linked_accounts,address_linked_accounts,device_return_rate_90d,address_return_rate_90d,high_value_flag,abusive_return,merchant_loss
R000004,O000026,C05704,2025-01-03 21:40:00.537138919,home,card,not_as_described,1194.11,1194.11,1369.2,12.79,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,45.66681587166667,1.0,0,0,0,1,1,1,0.0,0.0,0,0,88.65
R000013,O000165,C01549,2025-01-04 04:57:29.288634685,electronics,upi,not_as_described,7572.35,7572.35,8303.03,8.8,3,1,1,1,0,0,0,0.0,0.0,0.0,0.0,28.958135731666665,1.0,0,0,0,1,1,1,0.0,0.0,1,0,133.64
R000007,O000061,C07721,2025-01-04 07:42:22.683507649,fashion,wallet,damaged,979.25,979.25,1104.28,11.32,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,31.706300974166666,1.0,0,0,0,1,1,1,0.0,0.0,0,0,47.56
R000008,O000062,C07075,2025-01-04 09:18:11.742423973,electronics,upi,size_fit,2691.67,2691.67,4108.43,34.48,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,9.303261784166667,1.0,0,0,0,1,1,1,0.0,0.0,0,0,96.47
R000018,O000222,C08267,2025-01-04 09:30:56.556595612,electronics,upi,size_fit,5812.1,5812.1,7503.15,22.54,1,2,2,2,0,0,0,0.0,0.0,0.0,0.0,33.51571016527778,1.0,0,0,1,2,1,1,0.0,0.0,0,0,31.6
R000032,O000351,C04370,2025-01-04 09:56:36.525310036,electronics,upi,size_fit,3941.71,3941.71,4138.04,4.74,3,1,1,1,0,0,0,0.0,0.0,0.0,0.0,9.943479252777777,1.0,0,0,0,1,1,1,0.0,0.0,0,0,133.07
R000002,O000012,C02924,2025-01-04 12:53:06.141621678,electronics,upi,not_as_described,15846.21,15846.21,19518.09,18.81,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,36.88503933916666,1.0,0,0,0,1,1,1,0.0,0.0,1,0,600.0
R000003,O000015,C09934,2025-01-04 16:21:02.681585154,fashion,card,wrong_item,1331.07,1331.07,1527.36,12.85,3,1,1,1,0,0,0,0.0,0.0,0.0,0.0,16.35074488472222,1.0,0,0,0,1,1,1,0.0,0.0,0,0,138.72
R000036,O000416,C05585,2025-01-05 15:07:03.650679926,sports,upi,changed_mind,1312.68,1312.68,1466.35,10.48,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,15.117680744166666,1.0,0,0,0,1,1,1,0.0,0.0,0,0,126.42
R000045,O000510,C08536,2025-01-05 18:43:03.507089570,home,cod,size_fit,4816.33,4816.33,5035.3,4.35,4,2,2,2,0,0,0,0.0,0.0,0.0,0.0,18.717640858055557,1.0,0,0,0,2,1,1,0.0,0.0,0,0,97.35
R000057,O000629,C09450,2025-01-05 18:57:49.522317098,electronics,upi,size_fit,3898.62,3898.62,4221.14,7.64,4,1,1,1,0,0,0,0.0,0.0,0.0,0.0,18.963756199166664,1.0,0,0,0,1,1,1,0.0,0.0,0,0,104.73
R000020,O000245,C09102,2025-01-05 20:01:54.983007408,sports,wallet,not_as_described,2604.65,2604.65,2948.87,11.67,4,1,1,1,0,0,0,0.0,0.0,0.0,0.0,44.03193972416667,1.0,0,0,0,1,1,1,0.0,0.0,0,0,83.3
R000047,O000530,C06719,2025-01-05 23:55:05.402932039,fashion,card,size_fit,1788.14,1788.14,2004.94,10.81,4,1,1,1,0,0,0,0.0,0.0,0.0,0.0,47.91816748111111,1.0,0,0,0,1,1,1,0.0,0.0,0,0,109.12
R000041,O000476,C00853,2025-01-06 01:18:56.597990522,fashion,upi,size_fit,2303.28,2303.28,2383.66,3.37,5,1,1,1,0,0,0,0.0,0.0,0.0,0.0,49.315721663888894,1.0,0,0,0,1,1,1,0.0,0.0,0,0,60.98
R000046,O000523,C09226,2025-01-06 06:52:56.513814776,fashion,wallet,damaged,682.15,682.15,847.31,19.49,5,2,2,2,0,0,0,0.0,0.0,0.0,0.0,6.882364948333334,1.0,0,0,0,2,2,2,0.0,0.0,0,1,873.08
R000044,O000501,C04904,2025-01-06 11:04:54.049856937,electronics,cod,size_fit,18168.07,18168.07,21319.73,14.78,5,1,1,1,0,0,0,0.0,0.0,0.0,0.0,59.081680515555554,1.0,0,0,0,1,1,1,0.0,0.0,1,0,600.0
R000006,O000049,C07605,2025-01-06 11:21:04.288518284,beauty,upi,wrong_item,889.66,889.66,1139.17,21.9,5,2,2,2,0,0,0,0.0,0.0,0.0,0.0,35.351191255,1.0,0,0,0,2,1,1,0.0,0.0,0,0,0.0
R000040,O000472,C01985,2025-01-06 12:18:45.236561302,home,cod,size_fit,3559.48,3559.48,3871.25,8.05,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,12.312565711388888,1.0,0,0,0,1,1,1,0.0,0.0,0,0,246.83
R000039,O000469,C05481,2025-01-06 13:19:29.119986883,home,wallet,changed_mind,4481.1,4481.1,5230.3,14.32,5,1,1,1,0,0,0,0.0,0.0,0.0,0.0,13.324755551666666,1.0,0,0,0,1,1,1,0.0,0.0,0,0,222.34
R000029,O000318,C01075,2025-01-06 13:34:35.503673930,grocery,card,size_fit,3702.38,3702.38,4406.08,15.97,5,1,1,1,0,0,0,0.0,0.0,0.0,0.0,37.576528798055556,1.0,0,0,0,1,1,1,0.0,0.0,0,0,140.07
R000062,O000685,C05032,2025-01-06 15:49:09.175516698,sports,upi,changed_mind,3299.67,3299.67,3603.4,8.43,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,39.81921542111111,1.0,0,0,0,1,1,1,0.0,0.0,0,0,129.91
R000025,O000277,C01130,2025-01-06 16:21:59.532154066,fashion,upi,size_fit,575.1,575.1,650.89,11.64,5,2,2,2,0,0,0,0.0,0.0,0.0,0.0,16.366536709444446,1.0,0,0,0,2,1,1,0.0,0.0,0,0,76.82
R000001,O000004,C08536,2025-01-06 18:05:59.031811046,grocery,upi,changed_mind,1258.59,1258.59,1431.38,12.07,5,2,2,2,1,1,1,0.5,0.5,4816.33,4816.33,18.099731058611113,1.0,0,0,1,3,1,1,0.5,0.5,0,0,22.15
R000067,O000762,C07270,2025-01-06 19:05:52.143583502,fashion,upi,damaged,2325.63,2325.63,2692.05,13.61,5,1,1,1,0,0,0,0.0,0.0,0.0,0.0,19.097817661944443,1.0,0,0,0,1,1,1,0.0,0.0,0,0,159.18
R000048,O000541,C05662,2025-01-06 21:43:05.440502247,fashion,wallet,size_fit,1344.46,1344.46,1516.65,11.35,5,1,1,1,0,0,0,0.0,0.0,0.0,0.0,21.71817791722222,1.0,0,0,0,1,1,1,0.0,0.0,0,0,120.61
R000014,O000174,C02920,2025-01-06 22:01:25.284443732,electronics,upi,wrong_item,23214.85,23214.85,17218.98,16.48,5,1,1,1,0,0,0,0.0,0.0,0.0,0.0,70.02369012305556,1.0,0,0,0,1,1,1,0.0,0.0,1,0,600.0
R000005,O000043,C02197,2025-01-07 05:41:15.826805710,sports,cod,size_fit,2316.08,2316.08,2568.65,9.83,6,1,1,1,0,0,0,0.0,0.0,0.0,0.0,101.68772966805557,1.0,0,0,0,1,1,1,0.0,0.0,0,0,101.39
R000079,O000916,C09982,2025-01-07 06:10:51.002728575,electronics,upi,size_fit,22291.41,22291.41,14320.31,7.42,6,1,1,1,0,0,0,0.0,0.0,0.0,0.0,6.180834091111111,1.0,0,0,0,1,1,1,0.0,0.0,1,0,600.0
R000011,O000114,C08229,2025-01-07 06:49:32.183195124,sports,upi,not_as_described,2767.56,2767.56,3137.83,11.8,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,102.82560644305555,1.0,0,0,0,1,1,1,0.0,0.0,0,0,157.26
R000012,O000132,C08160,2025-01-07 09:15:06.378937984,fashion,upi,not_as_described,1092.93,1092.93,1415.37,22.78,6,1,1,1,0,0,0,0.0,0.0,0.0,0.0,33.25177192694444,1.0,0,0,0,1,1,1,0.0,0.0,0,0,154.27
R000064,O000735,C02079,2025-01-07 13:16:53.679362775,beauty,upi,damaged,1119.89,1119.89,1335.98,16.17,6,1,1,1,0,0,0,0.0,0.0,0.0,0.0,61.28157760055556,1.0,0,0,0,1,1,1,0.0,0.0,0,0,108.11
R000049,O000563,C01843,2025-01-07 16:03:37.712002525,fashion,card,not_as_described,1380.03,1380.03,1430.29,3.51,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,16.06047555611111,1.0,0,0,0,1,1,1,0.0,0.0,0,0,48.58
R000021,O000253,C07638,2025-01-07 16:27:41.034745900,grocery,upi,damaged,273.05,273.05,301.75,9.51,6,1,1,1,0,0,0,0.0,0.0,0.0,0.0,16.461398540277777,1.0,0,0,0,1,1,1,0.0,0.0,0,0,26.66
