customer_id,account_created_at,home_region,latent_type,device_id,address_id,payment_fingerprint
C00000,2025-01-01,W,normal,D00000,A00000,P00000
C00001,2025-01-01,E,normal,D00001,A00001,P00001
C00002,2025-01-01,N,normal,D00002,A00002,P00002
C00003,2025-01-01,N,normal,D00003,A00003,P00003
C00004,2025-01-01,S,normal,D00004,A00004,P00004
C00005,2025-10-05,N,abusive,D00005,A00005,P00005
C00006,2025-11-02,S,normal,D00006,A00006,P00006
C00007,2025-01-01,NE,normal,D00007,A00007,P00007
C00008,2025-01-01,N,normal,D00008,A00008,P00008
C00009,2025-01-01,S,normal,D00009,A00009,P00009
C00010,2025-01-01,W,normal,D00010,A00010,P00010
C00011,2025-01-01,S,frequent_legit,D00011,A00011,P00011
C00012,2025-01-01,N,normal,D00012,A00012,P00012
C00013,2025-01-01,N,normal,D00013,A00013,P00013
C00014,2025-08-26,W,normal,D00014,A00014,P00014
C00015,2025-01-01,N,normal,D00015,A00015,P00015
C00016,2025-01-01,E,normal,D00016,A00016,P00016
C00017,2025-01-01,W,normal,D00017,A00017,P00017
C00018,2025-01-03,N,normal,D00018,A00018,P00018
C00019,2025-08-13,W,normal,D00019,A00019,P00019
C00020,2025-01-01,N,normal,D00020,A00020,P00020
C00021,2025-01-01,S,normal,D00021,A00021,P00021
C00022,2025-01-01,S,abusive,D00022,A00022,P00022
C00023,2025-01-01,NE,normal,D00023,A00023,P00023
C00024,2025-01-01,N,normal,D00024,A00024,P00024
C00025,2025-01-01,N,normal,D00025,A00025,P00025
C00026,2025-01-01,W,normal,D00026,A00026,P00026
C00027,2025-01-01,N,normal,D00027,A00027,P00027
C00028,2025-01-01,W,normal,D00028,A00028,P00028
C00029,2025-11-09,E,normal,D00029,A00029,P00029
C00030,2025-12-10,E,normal,D00030,A00030,P00030
C00031,2025-01-01,W,frequent_legit,D00031,A00031,P00031
C00032,2025-01-01,W,normal,D00032,A00032,P00032
C00033,2025-01-01,N,normal,D00033,A00033,P00033
C00034,2025-01-01,NE,normal,D00034,A00034,P00034
C00035,2025-01-01,NE,normal,D00035,A00035,P00035
C00036,2025-01-01,W,normal,D00036,A00036,P00036
C00037,2025-01-01,E,normal,D00037,A00037,P00037
C00038,2025-11-25,S,normal,D00038,A00038,P00038
C00039,2025-01-01,S,normal,D00039,A00039,P00039
C00040,2025-01-01,N,normal,D00040,A00040,P00040
C00041,2025-01-01,S,normal,D00041,A00041,P00041
C00042,2025-01-01,E,normal,D00042,A00042,P00042
C00043,2025-01-01,E,normal,D00043,A00043,P00043
C00044,2025-01-01,S,normal,D00044,A00044,P00044
C00045,2025-01-01,S,normal,D00045,A00045,P00045
C00046,2025-01-01,E,normal,D00046,A00046,P00046
C00047,2025-11-16,S,normal,D00047,A00047,P00047
C00048,2025-01-01,NE,normal,D00048,A00048,P00048
C00049,2025-01-01,E,normal,D00049,A00049,P00049
