order_id,customer_id,order_created_at,delivery_at,product_id,product_category,product_price,discount_pct,order_value,payment_method,device_id,address_id,payment_fingerprint,region,customer_account_age_at_order
O000000,C00014,2025-01-01,2025-01-06,SKU03859,beauty,6200.16,3.25,5998.55,cod,D00014,A00014,P00014,W,1
O000001,C05367,2025-01-01,2025-01-06,SKU02962,fashion,858.96,14.2,737.01,card,D05367,A05367,P05367,E,1
O000002,C04377,2025-01-01,2025-01-05,SKU02382,fashion,3629.75,25.34,2710.0,cod,D04377,A04377,P04377,E,1
O000003,C00371,2025-01-01,2025-01-05,SKU03275,fashion,2040.73,7.21,1893.52,upi,D00371,A00371,P00371,N,1
O000004,C08536,2025-01-01,2025-01-06,SKU03697,grocery,1431.38,12.07,1258.59,upi,D08536,A08536,P08536,S,1
O000005,C09443,2025-01-01,2025-01-04,SKU00711,sports,1578.45,2.28,1542.51,upi,D09443,A09443,P09443,S,1
O000006,C06717,2025-01-01,2025-01-04,SKU03795,sports,2330.97,12.74,2034.03,card,D06717,A06717,P06717,N,1
O000007,C08973,2025-01-01,2025-01-05,SKU00176,fashion,4920.38,37.79,3061.15,upi,D08973,A08973,P08973,N,1
O000008,C07603,2025-01-01,2025-01-05,SKU01123,home,1181.27,16.65,984.55,card,D07603,A07603,P07603,N,1
O000009,C03771,2025-01-01,2025-01-04,SKU02272,fashion,1305.78,12.28,1145.49,upi,D03771,A03771,P03771,S,1
O000010,C06790,2025-01-01,2025-01-03,SKU01448,electronics,22617.08,20.93,17882.25,upi,D06790,A06790,P06790,E,1
O000011,C03647,2025-01-01,2025-01-06,SKU01594,grocery,1214.87,13.19,1054.61,cod,D03647,A03647,P03647,W,1
O000012,C02924,2025-01-01,2025-01-03,SKU02669,electronics,19518.09,18.81,15846.21,upi,D02924,A02924,P02924,NE,1
O000013,C02976,2025-01-01,2025-01-06,SKU04440,electronics,10591.35,10.37,9492.94,upi,D02976,A02976,P02976,E,1
O000014,C01429,2025-01-01,2025-01-02,SKU02067,beauty,4310.93,2.18,4216.99,cod,D01429,A01429,P01429,W,1
O000015,C09934,2025-01-01,2025-01-04,SKU03315,fashion,1527.36,12.85,1331.07,card,D09934,A09934,P09934,W,1
O000016,C06279,2025-01-01,2025-01-03,SKU01817,fashion,1028.77,6.73,959.5,card,D06279,A06279,P06279,N,1
O000017,C04507,2025-01-01,2025-01-03,SKU01841,beauty,3075.56,7.2,2854.19,upi,D04507,A04507,P04507,N,1
O000018,C09283,2025-01-01,2025-01-05,SKU03327,beauty,1329.44,14.84,1132.18,card,D09283,A09283,P09283,S,1
O000019,C07816,2025-01-01,2025-01-06,SKU00656,sports,1800.39,6.02,1692.03,cod,D07816,A07816,P07816,E,1
O000020,C08815,2025-01-01,2025-01-06,SKU00526,grocery,2617.25,15.01,2224.52,cod,D08815,A08815,P08815,W,1
