return_id,order_id,customer_id,return_requested_at,return_reason,return_value
R000000,O000003,C00371,2025-01-08 22:06:31.148428158,changed_mind,1893.52
R000001,O000004,C08536,2025-01-06 18:05:59.031811046,changed_mind,1258.59
R000002,O000012,C02924,2025-01-04 12:53:06.141621678,not_as_described,15846.21
R000003,O000015,C09934,2025-01-04 16:21:02.681585154,wrong_item,1331.07
R000004,O000026,C05704,2025-01-03 21:40:00.537138919,not_as_described,1194.11
R000005,O000043,C02197,2025-01-07 05:41:15.826805710,size_fit,2316.08
R000006,O000049,C07605,2025-01-06 11:21:04.288518284,wrong_item,889.66
R000007,O000061,C07721,2025-01-04 07:42:22.683507649,damaged,979.25
R000008,O000062,C07075,2025-01-04 09:18:11.742423973,size_fit,2691.67
R000009,O000081,C01874,2025-01-08 19:50:45.581720031,changed_mind,1062.71
R000010,O000095,C05441,2025-01-09 13:35:36.653584754,not_as_described,1721.95
R000011,O000114,C08229,2025-01-07 06:49:32.183195124,not_as_described,2767.56
R000012,O000132,C08160,2025-01-07 09:15:06.378937984,not_as_described,1092.93
R000013,O000165,C01549,2025-01-04 04:57:29.288634685,not_as_described,7572.35
R000014,O000174,C02920,2025-01-06 22:01:25.284443732,wrong_item,23214.85
R000015,O000201,C05030,2025-01-08 20:20:21.712483802,not_as_described,4712.33
R000016,O000205,C07900,2025-01-08 23:43:31.968074812,damaged,7240.01
R000017,O000220,C03923,2025-01-11 01:44:18.412013842,size_fit,2984.22
R000018,O000222,C08267,2025-01-04 09:30:56.556595612,size_fit,5812.1
R000019,O000241,C01687,2025-01-07 21:02:09.645696481,size_fit,1097.48
R000020,O000245,C09102,2025-01-05 20:01:54.983007408,not_as_described,2604.65
R000021,O000253,C07638,2025-01-07 16:27:41.034745900,damaged,273.05
R000022,O000255,C01920,2025-01-11 14:36:07.814761657,size_fit,1756.62
R000023,O000257,C09255,2025-01-11 17:29:07.823889830,changed_mind,718.61
R000024,O000260,C03662,2025-01-08 10:12:46.326550129,not_as_described,2576.43
R000025,O000277,C01130,2025-01-06 16:21:59.532154066,size_fit,575.1
R000026,O000297,C02168,2025-01-09 05:40:57.806018454,not_as_described,1046.65
R000027,O000300,C01521,2025-01-10 03:44:11.437085749,damaged,3500.25
R000028,O000310,C01334,2025-01-08 09:10:35.045824800,size_fit,424.2
R000029,O000318,C01075,2025-01-06 13:34:35.503673930,size_fit,3702.38
R000030,O000320,C03476,2025-01-09 23:50:58.088512197,size_fit,4618.22
R000031,O000321,C02887,2025-01-08 13:09:41.409251776,changed_mind,2770.84
R000032,O000351,C04370,2025-01-04 09:56:36.525310036,size_fit,3941.71
R000033,O000372,C09482,2025-01-11 00:55:16.973952254,not_as_described,528.39
R000034,O000388,C02737,2025-01-09 09:21:15.415325233,changed_mind,191.19
R000035,O000401,C09839,2025-01-07 18:39:54.962782477,not_as_described,996.21
R000036,O000416,C05585,2025-01-05 15:07:03.650679926,changed_mind,1312.68
R000037,O000426,C02985,2025-01-09 11:30:31.536440715,damaged,607.85
R000038,O000441,C01828,2025-01-10 08:36:54.058612626,not_as_described,1332.47
R000039,O000469,C05481,2025-01-06 13:19:29.119986883,changed_mind,4481.1
R000040,O000472,C01985,2025-01-06 12:18:45.236561302,size_fit,3559.48
R000041,O000476,C00853,2025-01-06 01:18:56.597990522,size_fit,2303.28
R000042,O000480,C03294,2025-01-07 20:30:28.273610257,not_as_described,9618.55
R000043,O000493,C08689,2025-01-08 12:28:47.542662418,wrong_item,3257.83
R000044,O000501,C04904,2025-01-06 11:04:54.049856937,size_fit,18168.07
R000045,O000510,C08536,2025-01-05 18:43:03.507089570,size_fit,4816.33
R000046,O000523,C09226,2025-01-06 06:52:56.513814776,damaged,682.15
R000047,O000530,C06719,2025-01-05 23:55:05.402932039,size_fit,1788.14
R000048,O000541,C05662,2025-01-06 21:43:05.440502247,size_fit,1344.46
R000049,O000563,C01843,2025-01-07 16:03:37.712002525,not_as_described,1380.03
R000050,O000567,C05057,2025-01-10 10:13:06.942823647,damaged,2094.85
R000051,O000577,C07220,2025-01-12 04:53:12.948385297,wrong_item,1275.32
R000052,O000581,C09046,2025-01-08 04:33:09.949328902,not_as_described,2320.55
R000053,O000585,C03547,2025-01-08 09:44:54.458491628,size_fit,4576.93
R000054,O000595,C09279,2025-01-07 20:35:24.405982764,damaged,1965.64
R000055,O000601,C03779,2025-01-09 20:47:21.432407877,wrong_item,7162.28
R000056,O000624,C03375,2025-01-13 03:26:12.372625989,size_fit,10601.08
R000057,O000629,C09450,2025-01-05 18:57:49.522317098,size_fit,3898.62
R000058,O000634,C04092,2025-01-10 05:05:25.659591342,size_fit,465.91
R000059,O000651,C02102,2025-01-08 03:05:35.584276484,damaged,3102.07
R000060,O000664,C06762,2025-01-08 22:35:10.699807891,wrong_item,3780.92
R000061,O000683,C02168,2025-01-07 21:51:09.557859927,size_fit,230.55
R000062,O000685,C05032,2025-01-06 15:49:09.175516698,changed_mind,3299.67
R000063,O000698,C00143,2025-01-13 21:31:49.299520616,damaged,168.62
R000064,O000735,C02079,2025-01-07 13:16:53.679362775,damaged,1119.89
R000065,O000743,C09847,2025-01-09 10:14:08.786945961,damaged,362.47
R000066,O000753,C00580,2025-01-11 18:16:41.759064249,size_fit,4385.37
R000067,O000762,C07270,2025-01-06 19:05:52.143583502,damaged,2325.63
R000068,O000776,C07317,2025-01-09 17:33:33.861299432,not_as_described,1442.32
R000069,O000789,C09600,2025-01-10 02:32:43.237734518,not_as_described,2938.54
R000070,O000807,C06997,2025-01-08 03:04:20.843849272,damaged,5512.82
R000071,O000819,C01240,2025-01-10 05:05:03.863395683,not_as_described,1285.11
R000072,O000825,C00468,2025-01-10 04:30:57.843620038,not_as_described,3251.69
R000073,O000826,C06727,2025-01-07 22:00:48.762779342,changed_mind,1544.6
R000074,O000836,C07983,2025-01-08 12:53:28.620470169,damaged,2882.17
R000075,O000838,C07331,2025-01-09 10:25:45.657936930,damaged,3619.92
R000076,O000891,C05206,2025-01-15 17:16:02.747309890,damaged,1667.2
R000077,O000896,C01618,2025-01-09 16:15:45.692815114,wrong_item,7008.16
R000078,O000914,C09220,2025-01-09 06:24:02.210569488,not_as_described,1934.58
R000079,O000916,C09982,2025-01-07 06:10:51.002728575,size_fit,22291.41
R000080,O000918,C00872,2025-01-08 21:11:13.803667173,not_as_described,5827.64
R000081,O000919,C03602,2025-01-10 02:05:28.402093035,size_fit,15249.31
R000082,O000920,C02760,2025-01-08 13:20:30.395694696,damaged,2780.88
R000083,O000933,C08060,2025-01-08 12:12:10.402435814,not_as_described,3358.9
R000084,O000967,C03304,2025-01-10 02:54:25.841999818,damaged,14708.62
R000085,O000988,C09526,2025-01-12 01:24:36.613557180,wrong_item,6265.1
R000086,O001009,C08354,2025-01-08 17:33:53.239737650,changed_mind,1149.75
R000087,O001012,C05574,2025-01-08 10:47:27.392346322,changed_mind,3267.32
R000088,O001017,C00627,2025-01-11 07:27:41.388399356,size_fit,390.47
R000089,O001018,C07127,2025-01-10 12:40:51.322497682,not_as_described,1307.06
R000090,O001033,C05103,2025-01-08 04:11:51.041644630,size_fit,2742.59
R000091,O001035,C03841,2025-01-13 16:07:16.453383258,size_fit,1574.51
R000092,O001044,C00776,2025-01-08 00:19:28.257658136,changed_mind,5051.05
R000093,O001060,C06468,2025-01-10 20:18:54.693026186,size_fit,593.92
R000094,O001061,C02225,2025-01-11 09:44:05.458648099,changed_mind,1154.7
R000095,O001072,C04233,2025-01-12 05:32:37.044520162,size_fit,7068.13
R000096,O001104,C00173,2025-01-09 23:48:15.520651221,not_as_described,889.17
R000097,O001120,C05444,2025-01-13 02:56:41.213871200,wrong_item,4736.94
R000098,O001128,C09158,2025-01-12 19:06:50.421090661,wrong_item,10858.57
R000099,O001129,C06372,2025-01-13 11:13:40.983649593,not_as_described,3638.97
R000100,O001130,C06853,2025-01-13 22:33:21.583526864,not_as_described,7593.23
R000101,O001136,C01081,2025-01-15 14:19:03.168688288,wrong_item,1068.63
R000102,O001157,C00142,2025-01-13 15:24:15.514391602,changed_mind,1475.16
R000103,O001160,C05342,2025-01-14 08:35:57.511383432,damaged,1538.72
R000104,O001169,C07435,2025-01-09 12:32:24.513586375,size_fit,331.89
R000105,O001171,C09867,2025-01-13 18:03:37.456521177,changed_mind,2031.16
R000106,O001173,C02207,2025-01-10 19:04:16.843106751,wrong_item,2555.54
R000107,O001176,C08326,2025-01-09 10:00:04.366464811,wrong_item,7483.63
R000108,O001179,C09504,2025-01-22 08:17:36.753816876,size_fit,6733.34
R000109,O001187,C05668,2025-01-12 06:50:26.123478766,wrong_item,2475.87
R000110,O001202,C05525,2025-01-16 15:11:13.086071091,changed_mind,3819.94
R000111,O001205,C06485,2025-01-11 23:20:02.614747858,size_fit,13096.93
R000112,O001223,C01390,2025-01-14 16:53:22.557328850,wrong_item,1696.59
R000113,O001228,C02726,2025-01-14 00:23:33.634672666,not_as_described,2846.47
R000114,O001234,C01448,2025-01-10 15:37:05.361361590,not_as_described,3991.26
R000115,O001294,C05969,2025-01-11 00:26:24.546996780,size_fit,951.4
R000116,O001302,C09869,2025-01-22 03:44:37.236218082,size_fit,5365.66
R000117,O001311,C08226,2025-01-17 10:03:30.524627217,size_fit,1145.78
R000118,O001322,C08652,2025-01-13 02:05:38.596610461,size_fit,8483.48
R000119,O001333,C03010,2025-01-14 15:37:39.168222798,size_fit,2951.81
R000120,O001338,C09463,2025-01-11 13:00:30.258441233,wrong_item,488.73
R000121,O001344,C02017,2025-01-21 04:49:46.994516180,not_as_described,2299.98
R000122,O001352,C04784,2025-01-11 02:22:44.801311573,wrong_item,4888.76
R000123,O001363,C02419,2025-01-11 05:55:09.565139834,not_as_described,544.47
R000124,O001380,C00642,2025-01-14 05:41:11.164663586,size_fit,1233.85
R000125,O001386,C08098,2025-01-22 09:25:56.012220004,wrong_item,4867.84
R000126,O001390,C09078,2025-01-15 22:18:34.231058359,wrong_item,9490.29
R000127,O001395,C08145,2025-01-13 10:06:30.412421200,not_as_described,1205.43
R000128,O001404,C09137,2025-01-11 17:20:40.108590319,changed_mind,3856.82
R000129,O001412,C04543,2025-01-18 00:27:29.445471097,changed_mind,3388.28
R000130,O001414,C02820,2025-01-09 11:31:34.245846544,wrong_item,9536.07
R000131,O001419,C08987,2025-01-12 12:56:14.541470696,wrong_item,25042.48
R000132,O001426,C05398,2025-01-12 09:10:26.746343601,size_fit,27169.83
R000133,O001428,C04264,2025-01-17 21:55:34.554565380,not_as_described,730.46
R000134,O001433,C07434,2025-01-14 09:00:17.580488842,not_as_described,4745.17
R000135,O001441,C06817,2025-01-13 21:23:21.307801596,not_as_described,1713.31
R000136,O001448,C02027,2025-01-12 18:30:46.863332614,size_fit,511.15
R000137,O001451,C03379,2025-01-23 11:17:30.807570886,wrong_item,1233.01
R000138,O001452,C02180,2025-01-15 05:21:07.710236629,wrong_item,8850.73
R000139,O001456,C07794,2025-01-11 14:03:55.638974574,size_fit,6347.49
R000140,O001463,C01701,2025-01-13 06:25:19.627029422,not_as_described,1667.29
R000141,O001467,C00974,2025-01-12 23:11:53.045365254,not_as_described,2066.28
R000142,O001473,C04185,2025-01-16 00:17:42.719578468,size_fit,2549.9
R000143,O001475,C03027,2025-01-14 18:14:21.829980523,size_fit,11506.59
R000144,O001478,C06915,2025-01-10 02:00:38.485750719,changed_mind,2052.45
R000145,O001481,C05412,2025-01-11 02:04:03.770317045,size_fit,7159.31
R000146,O001497,C05981,2025-01-16 12:28:57.027249692,not_as_described,1769.8
R000147,O001500,C06328,2025-01-14 00:49:12.226530219,size_fit,11525.73
R000148,O001508,C01993,2025-01-14 22:40:46.620479470,changed_mind,6186.24
R000149,O001522,C09182,2025-01-24 21:29:30.773649408,wrong_item,1064.38
R000150,O001524,C09330,2025-01-16 06:02:45.859421968,size_fit,2466.95
R000151,O001556,C00177,2025-01-11 14:48:31.741554981,not_as_described,711.83
R000152,O001563,C05428,2025-01-11 07:54:55.315390154,changed_mind,2381.56
R000153,O001564,C07822,2025-01-15 19:00:16.979765432,not_as_described,870.1
R000154,O001565,C00779,2025-01-19 10:10:03.438057007,not_as_described,1838.49
R000155,O001566,C03810,2025-01-12 20:11:33.267538705,size_fit,760.91
R000156,O001575,C08522,2025-01-12 13:49:33.405245572,wrong_item,2729.2
R000157,O001598,C09297,2025-01-27 18:39:39.454641302,changed_mind,1005.15
R000158,O001601,C03260,2025-01-14 05:19:28.090787188,changed_mind,2220.81
R000159,O001610,C07711,2025-01-17 02:06:46.099290463,size_fit,4619.25
R000160,O001612,C02844,2025-01-15 14:33:01.372015767,damaged,1174.91
R000161,O001631,C07452,2025-01-15 07:58:11.737361982,size_fit,6917.31
R000162,O001635,C00347,2025-01-12 18:45:15.573676802,wrong_item,3055.32
R000163,O001642,C07637,2025-01-27 00:00:00.000000000,size_fit,4602.91
R000164,O001652,C06453,2025-01-12 12:49:02.716605314,not_as_described,2425.0
R000165,O001703,C08086,2025-01-15 21:03:44.765540006,size_fit,6873.46
R000166,O001706,C05498,2025-01-16 04:01:04.409385294,not_as_described,12141.05
R000167,O001708,C01994,2025-01-15 06:35:33.326535976,not_as_described,2554.79
R000168,O001716,C03827,2025-01-18 19:06:32.339992039,size_fit,1568.28
R000169,O001729,C05530,2025-01-15 20:07:31.992023823,changed_mind,1209.9
R000170,O001739,C01082,2025-01-19 09:07:42.438609472,size_fit,3304.11
R000171,O001755,C00264,2025-01-16 03:00:23.752851480,wrong_item,1668.75
R000172,O001759,C08512,2025-01-26 00:00:00.000000000,size_fit,1597.28
R000173,O001761,C02373,2025-01-19 03:12:38.525903121,changed_mind,1904.53
R000174,O001780,C00870,2025-01-16 13:00:56.951328826,changed_mind,1042.88
R000175,O001787,C03041,2025-01-17 08:56:55.480830957,not_as_described,28805.39
R000176,O001792,C08272,2025-01-13 09:23:37.462495804,size_fit,12106.47
R000177,O001821,C02717,2025-01-13 23:58:17.691164562,size_fit,3208.94
R000178,O001827,C08512,2025-01-12 07:10:14.366002674,not_as_described,1287.15
R000179,O001851,C02619,2025-01-14 17:51:43.434446097,changed_mind,5394.48
R000180,O001870,C08468,2025-01-17 10:34:53.651321878,not_as_described,3193.34
R000181,O001871,C04845,2025-01-15 00:53:10.135250307,size_fit,15269.85
R000182,O001878,C09887,2025-01-15 16:31:41.435922727,damaged,2233.89
R000183,O001894,C03430,2025-01-17 21:05:56.098060339,not_as_described,1641.45
R000184,O001899,C05363,2025-01-22 22:59:05.355467426,size_fit,487.15
R000185,O001906,C07298,2025-01-15 18:38:27.103722399,size_fit,445.11
R000186,O001907,C03138,2025-01-17 21:54:36.585059590,size_fit,1246.89
