return_id,item_received,item_condition_ok,refund_completed,merchant_loss,abuse_rule_triggered,abusive_return
R000000,1,1,1,43.99,none,0
R000001,1,1,1,22.15,none,0
R000002,1,1,1,600.0,none,0
R000003,1,1,1,138.72,none,0
R000004,1,1,1,88.65,none,0
R000005,1,1,1,101.39,none,0
R000006,1,1,1,0.0,none,0
R000007,1,1,1,47.56,none,0
R000008,1,0,1,96.47,none,0
R000009,0,1,1,65.74,none,0
R000010,1,0,1,97.47,none,0
R000011,1,1,1,157.26,none,0
R000012,1,1,1,154.27,none,0
R000013,1,1,1,133.64,none,0
R000014,1,1,1,600.0,none,0
R000015,1,0,1,70.03,none,0
R000016,1,1,1,225.39,none,0
R000017,1,1,1,194.04,none,0
R000018,1,1,1,31.6,none,0
R000019,1,1,1,60.9,none,0
R000020,1,1,1,83.3,none,0
R000021,1,1,1,26.66,none,0
R000022,1,1,1,133.08,none,0
R000023,1,1,1,94.24,none,0
R000024,1,1,1,134.5,none,0
R000025,1,1,1,76.82,none,0
R000026,1,0,1,56.08,none,0
R000027,1,1,1,109.21,none,0
R000028,1,0,1,45.22,none,0
R000029,1,1,1,140.07,none,0
R000030,1,1,1,277.42,none,0
R000031,1,1,1,121.49,none,0
R000032,1,1,1,133.07,none,0
R000033,1,1,1,65.87,none,0
R000034,1,1,1,15.93,none,0
R000035,1,1,1,88.86,none,0
R000036,1,1,1,126.42,none,0
R000037,1,1,1,41.46,none,0
R000038,1,1,1,53.44,none,0
R000039,1,1,1,222.34,none,0
R000040,1,1,1,246.83,none,0
R000041,1,1,1,60.98,none,0
R000042,1,1,1,289.79,none,0
R000043,1,1,1,188.92,none,0
R000044,1,1,1,600.0,none,0
R000045,1,1,1,97.35,none,0
R000046,1,1,1,873.08,condition_mismatch,1
R000047,1,1,1,109.12,none,0
R000048,1,1,1,120.61,none,0
R000049,1,1,1,48.58,none,0
R000050,1,1,1,83.82,none,0
R000051,1,1,1,119.29,none,0
R000052,1,1,1,29.05,none,0
R000053,0,1,1,154.16,none,0
R000054,1,1,1,147.01,none,0
R000055,1,1,1,376.07,none,0
R000056,1,1,1,167.94,none,0
R000057,1,1,1,104.73,none,0
R000058,1,1,1,40.71,none,0
R000059,1,1,1,64.42,none,0
R000060,1,1,1,124.97,none,0
R000061,1,1,1,59.49,none,0
R000062,1,1,1,129.91,none,0
R000063,1,1,1,79.9,none,0
R000064,1,0,1,108.11,none,0
R000065,1,1,1,3.6,none,0
R000066,1,1,1,302.07,none,0
R000067,0,1,1,159.18,none,0
R000068,1,1,1,96.19,none,0
R000069,1,1,1,195.64,none,0
R000070,1,1,1,239.33,none,0
R000071,1,1,1,83.15,none,0
R000072,1,1,1,43.56,none,0
R000073,1,1,1,62.24,none,0
R000074,1,1,1,168.93,none,0
R000075,1,1,1,154.55,none,0
R000076,1,1,1,41.37,none,0
R000077,1,1,1,437.3,none,0
R000078,1,1,1,108.79,none,0
R000079,1,1,1,600.0,none,0
R000080,1,0,1,99.29,none,0
R000081,1,1,1,600.0,none,0
R000082,1,1,1,121.99,none,0
R000083,1,1,1,74.61,none,0
R000084,1,1,1,479.03,none,0
